  Distance(mm)      Deflection(mm)      Bending Moment(Nmm)     Shear Force(N)
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -160000.000     Shear Force, S(N)=  -80.0000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   1.49599987E-06 Bending Moment, M(Nmm)=  -129600.000     Shear Force, S(N)=  -72.0000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   2.79466644E-06 Bending Moment, M(Nmm)=  -102400.000     Shear Force, S(N)=  -64.0000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   3.91200001E-06 Bending Moment, M(Nmm)=  -78400.0000     Shear Force, S(N)=  -56.0000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   4.86399995E-06 Bending Moment, M(Nmm)=  -57600.0000     Shear Force, S(N)=  -48.0000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   5.66666631E-06 Bending Moment, M(Nmm)=  -40000.0000     Shear Force, S(N)=  -40.0000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   6.33599984E-06 Bending Moment, M(Nmm)=  -25600.0000     Shear Force, S(N)=  -32.0000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   6.88799946E-06 Bending Moment, M(Nmm)=  -14400.0000     Shear Force, S(N)=  -24.0000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   7.33866636E-06 Bending Moment, M(Nmm)=  -6400.00000     Shear Force, S(N)=  -16.0000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   7.70399947E-06 Bending Moment, M(Nmm)=  -1600.00000     Shear Force, S(N)=  -8.00000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   7.99999998E-06 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -320000.000     Shear Force, S(N)=  -160.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   2.99199974E-06 Bending Moment, M(Nmm)=  -259200.000     Shear Force, S(N)=  -144.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   5.58933289E-06 Bending Moment, M(Nmm)=  -204800.000     Shear Force, S(N)=  -128.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   7.82400002E-06 Bending Moment, M(Nmm)=  -156800.000     Shear Force, S(N)=  -112.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   9.72799990E-06 Bending Moment, M(Nmm)=  -115200.000     Shear Force, S(N)=  -96.0000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   1.13333326E-05 Bending Moment, M(Nmm)=  -80000.0000     Shear Force, S(N)=  -80.0000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   1.26719997E-05 Bending Moment, M(Nmm)=  -51200.0000     Shear Force, S(N)=  -64.0000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   1.37759989E-05 Bending Moment, M(Nmm)=  -28800.0000     Shear Force, S(N)=  -48.0000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   1.46773327E-05 Bending Moment, M(Nmm)=  -12800.0000     Shear Force, S(N)=  -32.0000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   1.54079989E-05 Bending Moment, M(Nmm)=  -3200.00000     Shear Force, S(N)=  -16.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   1.60000000E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -480000.000     Shear Force, S(N)=  -240.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   4.48799983E-06 Bending Moment, M(Nmm)=  -388800.000     Shear Force, S(N)=  -216.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   8.38399956E-06 Bending Moment, M(Nmm)=  -307200.000     Shear Force, S(N)=  -192.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   1.17359996E-05 Bending Moment, M(Nmm)=  -235200.000     Shear Force, S(N)=  -168.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   1.45919994E-05 Bending Moment, M(Nmm)=  -172800.000     Shear Force, S(N)=  -144.000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   1.70000003E-05 Bending Moment, M(Nmm)=  -120000.000     Shear Force, S(N)=  -120.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   1.90079991E-05 Bending Moment, M(Nmm)=  -76800.0000     Shear Force, S(N)=  -96.0000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   2.06639997E-05 Bending Moment, M(Nmm)=  -43200.0000     Shear Force, S(N)=  -72.0000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   2.20160000E-05 Bending Moment, M(Nmm)=  -19200.0000     Shear Force, S(N)=  -48.0000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   2.31119993E-05 Bending Moment, M(Nmm)=  -4800.00000     Shear Force, S(N)=  -24.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   2.39999990E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -640000.000     Shear Force, S(N)=  -320.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   5.98399947E-06 Bending Moment, M(Nmm)=  -518400.000     Shear Force, S(N)=  -288.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   1.11786658E-05 Bending Moment, M(Nmm)=  -409600.000     Shear Force, S(N)=  -256.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   1.56480000E-05 Bending Moment, M(Nmm)=  -313600.000     Shear Force, S(N)=  -224.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   1.94559998E-05 Bending Moment, M(Nmm)=  -230400.000     Shear Force, S(N)=  -192.000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   2.26666652E-05 Bending Moment, M(Nmm)=  -160000.000     Shear Force, S(N)=  -160.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   2.53439994E-05 Bending Moment, M(Nmm)=  -102400.000     Shear Force, S(N)=  -128.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   2.75519978E-05 Bending Moment, M(Nmm)=  -57600.0000     Shear Force, S(N)=  -96.0000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   2.93546655E-05 Bending Moment, M(Nmm)=  -25600.0000     Shear Force, S(N)=  -64.0000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   3.08159979E-05 Bending Moment, M(Nmm)=  -6400.00000     Shear Force, S(N)=  -32.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   3.19999999E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -800000.000     Shear Force, S(N)=  -400.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   7.47999957E-06 Bending Moment, M(Nmm)=  -648000.000     Shear Force, S(N)=  -360.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   1.39733329E-05 Bending Moment, M(Nmm)=  -512000.000     Shear Force, S(N)=  -320.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   1.95600005E-05 Bending Moment, M(Nmm)=  -392000.000     Shear Force, S(N)=  -280.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   2.43199993E-05 Bending Moment, M(Nmm)=  -288000.000     Shear Force, S(N)=  -240.000000    
